Instance,Terminal,Layer,X location,Y location,Voltage
_151_,VGND,li1,47.1500,54.4000,0.000003
_150_,VGND,li1,38.8700,48.9600,0.000006
_149_,VGND,li1,48.9900,38.0800,0.000003
_148_,VGND,li1,48.5300,38.0800,0.000003
_147_,VGND,li1,41.6300,27.2000,0.000003
_146_,VGND,li1,42.5500,16.3200,0.000003
_145_,VGND,li1,38.4100,10.8800,0.000000
_144_,VGND,li1,27.3700,21.7600,0.000012
_143_,VGND,li1,22.3100,10.8800,0.000000
_142_,VGND,li1,19.5500,16.3200,0.000004
_141_,VGND,li1,20.4700,32.6400,0.000000
_140_,VGND,li1,19.0900,32.6400,0.000000
_139_,VGND,li1,17.2500,38.0800,0.000004
_138_,VGND,li1,28.7500,43.5200,0.000003
_137_,VGND,li1,32.8900,43.5200,0.000002
_136_,VGND,li1,17.2500,48.9600,0.000007
_135_,VGND,li1,24.6100,48.9600,0.000008
_134_,VGND,li1,36.1100,59.8400,0.000002
_133_,VGND,li1,36.1100,54.4000,0.000002
_132_,VGND,li1,42.5500,10.8800,0.000000
_131_,VGND,li1,46.6900,16.3200,0.000004
_130_,VGND,li1,47.6100,21.7600,0.000012
_129_,VGND,li1,50.8300,27.2000,0.000004
_128_,VGND,li1,54.9700,21.7600,0.000009
_127_,VGND,li1,45.0800,21.7600,0.000009
_126_,VGND,li1,51.2900,27.2000,0.000003
_125_,VGND,li1,58.6500,27.2000,0.000003
_124_,VGND,li1,49.4500,27.2000,0.000004
_123_,VGND,li1,54.0500,27.2000,0.000003
_122_,VGND,li1,58.8800,27.2000,0.000003
_121_,VGND,li1,46.2300,32.6400,0.000002
_120_,VGND,li1,47.6100,38.0800,0.000003
_119_,VGND,li1,52.9000,43.5200,0.000003
_118_,VGND,li1,58.4200,48.9600,0.000009
_117_,VGND,li1,53.3600,59.8400,0.000001
_116_,VGND,li1,58.6500,54.4000,0.000004
_115_,VGND,li1,50.8300,65.2800,0.000000
_114_,VGND,li1,50.3700,59.8400,0.000002
_113_,VGND,li1,56.1200,59.8400,0.000001
_112_,VGND,li1,46.2300,54.4000,0.000002
_111_,VGND,li1,42.3200,48.9600,0.000007
_110_,VGND,li1,49.4500,43.5200,0.000003
_109_,VGND,li1,55.4300,48.9600,0.000009
_108_,VGND,li1,39.7900,48.9600,0.000006
_107_,VGND,li1,42.5500,54.4000,0.000002
_106_,VGND,li1,45.3100,38.0800,0.000003
_105_,VGND,li1,38.4100,43.5200,0.000003
_104_,VGND,li1,49.9100,43.5200,0.000003
_103_,VGND,li1,40.0200,43.5200,0.000003
_102_,VGND,li1,37.0300,32.6400,0.000001
_101_,VGND,li1,33.5800,27.2000,0.000003
_100_,VGND,li1,27.8300,27.2000,0.000002
_099_,VGND,li1,29.6700,21.7600,0.000009
_098_,VGND,li1,31.9700,21.7600,0.000008
_097_,VGND,li1,32.8900,16.3200,0.000004
_096_,VGND,li1,29.2100,16.3200,0.000003
_095_,VGND,li1,40.2500,16.3200,0.000003
_094_,VGND,li1,25.9900,16.3200,0.000004
_093_,VGND,li1,35.1900,10.8800,0.000000
_092_,VGND,li1,12.1900,21.7600,0.000004
_091_,VGND,li1,25.5300,32.6400,0.000000
_090_,VGND,li1,20.0100,27.2000,0.000002
_089_,VGND,li1,11.2700,16.3200,0.000003
_088_,VGND,li1,20.0100,21.7600,0.000007
_087_,VGND,li1,14.7200,32.6400,0.000000
_086_,VGND,li1,16.7900,21.7600,0.000006
_085_,VGND,li1,10.8100,32.6400,0.000000
_084_,VGND,li1,8.9700,27.2000,0.000002
_083_,VGND,li1,10.1200,32.6400,0.000000
_082_,VGND,li1,11.0400,43.5200,0.000002
_081_,VGND,li1,17.2500,32.6400,0.000000
_080_,VGND,li1,13.1100,38.0800,0.000004
_079_,VGND,li1,16.7900,43.5200,0.000003
_078_,VGND,li1,20.0100,48.9600,0.000008
_077_,VGND,li1,28.9800,43.5200,0.000003
_076_,VGND,li1,31.2800,43.5200,0.000002
_075_,VGND,li1,8.9700,48.9600,0.000005
_074_,VGND,li1,21.1600,54.4000,0.000002
_073_,VGND,li1,24.6100,54.4000,0.000002
_072_,VGND,li1,26.6800,59.8400,0.000001
_071_,VGND,li1,27.3700,65.2800,0.000000
_070_,VGND,li1,29.6700,59.8400,0.000001
_069_,VGND,li1,34.2700,59.8400,0.000002
_068_,VGND,li1,27.3700,59.8400,0.000001
_067_,VGND,li1,20.4700,59.8400,0.000001
_066_,VGND,li1,21.8500,59.8400,0.000001
